"","metric","value","shuffle"
"1","Mean Edge Betweeness",24356.5479276373,FALSE
"2","Mean Edge Betweeness",13185.2021622528,TRUE
"3","Mean Edge Betweeness",16202.3341872059,TRUE
"4","Mean Edge Betweeness",11597.7639804891,TRUE
"5","Mean Edge Betweeness",9765.79225839363,TRUE
"6","Mean Edge Betweeness",15946.8144170696,TRUE
"7","Mean Edge Betweeness",9237.28156179015,TRUE
"8","Mean Edge Betweeness",17028.7788291819,TRUE
"9","Mean Edge Betweeness",14989.0889020471,TRUE
"10","Mean Edge Betweeness",12815.6484475683,TRUE
"11","Mean Edge Betweeness",16915.4980047271,TRUE
"12","Mean Edge Betweeness",21216.9293260498,TRUE
"13","Mean Edge Betweeness",11103.2664037515,TRUE
"14","Mean Edge Betweeness",11244.1161578686,TRUE
"15","Mean Edge Betweeness",11160.2051624835,TRUE
"16","Mean Edge Betweeness",10855.6330096429,TRUE
"17","Mean Edge Betweeness",15422.7098266499,TRUE
"18","Mean Edge Betweeness",13861.4769077602,TRUE
"19","Mean Edge Betweeness",18455.7022146343,TRUE
"20","Mean Edge Betweeness",16962.4764770923,TRUE
"21","Mean Edge Betweeness",22509.4066429595,TRUE
"22","Mean Edge Betweeness",24221.5411585628,TRUE
"23","Mean Edge Betweeness",14238.3829815377,TRUE
"24","Mean Edge Betweeness",15048.5060876611,TRUE
"25","Mean Edge Betweeness",11714.0510979312,TRUE
"26","Mean Edge Betweeness",13846.8175530756,TRUE
"27","Mean Edge Betweeness",9990.54843815746,TRUE
"28","Mean Edge Betweeness",19547.2495317522,TRUE
"29","Mean Edge Betweeness",20501.4326629074,TRUE
"30","Mean Edge Betweeness",19049.3517307455,TRUE
"31","Mean Edge Betweeness",18275.7890509118,TRUE
"32","Mean Edge Betweeness",20678.5678079423,TRUE
"33","Mean Edge Betweeness",12277.6187254481,TRUE
"34","Mean Edge Betweeness",9572.64576658166,TRUE
"35","Mean Edge Betweeness",17268.4393851513,TRUE
"36","Mean Edge Betweeness",17186.3342608361,TRUE
"37","Mean Edge Betweeness",23085.4072134732,TRUE
"38","Mean Edge Betweeness",14805.6674375351,TRUE
"39","Mean Edge Betweeness",24718.2997301094,TRUE
"40","Mean Edge Betweeness",17968.4616658869,TRUE
"41","Mean Edge Betweeness",19342.5177786374,TRUE
"42","Mean Edge Betweeness",9536.91615845547,TRUE
"43","Mean Edge Betweeness",8737.41413210321,TRUE
"44","Mean Edge Betweeness",16972.3456711856,TRUE
"45","Mean Edge Betweeness",8796.31821292712,TRUE
"46","Mean Edge Betweeness",10632.8836297593,TRUE
"47","Mean Edge Betweeness",11034.5896749448,TRUE
"48","Mean Edge Betweeness",13904.8243032484,TRUE
"49","Mean Edge Betweeness",10273.1930848097,TRUE
"50","Mean Edge Betweeness",9944.42948180609,TRUE
"51","Mean Edge Betweeness",11689.0658046626,TRUE
"52","Mean Edge Betweeness",19772.2099304843,TRUE
"53","Mean Edge Betweeness",19176.3990996297,TRUE
"54","Mean Edge Betweeness",16433.792936481,TRUE
"55","Mean Edge Betweeness",12364.2197076404,TRUE
"56","Mean Edge Betweeness",16559.0809336938,TRUE
"57","Mean Edge Betweeness",15443.9147521375,TRUE
"58","Mean Edge Betweeness",17971.0232410153,TRUE
"59","Mean Edge Betweeness",11847.6871088038,TRUE
"60","Mean Edge Betweeness",23194.0431615808,TRUE
"61","Mean Edge Betweeness",14454.2889157504,TRUE
"62","Mean Edge Betweeness",20755.1928075016,TRUE
"63","Mean Edge Betweeness",20665.2135456345,TRUE
"64","Mean Edge Betweeness",13223.4534592161,TRUE
"65","Mean Edge Betweeness",25731.1674879254,TRUE
"66","Mean Edge Betweeness",9881.63967195084,TRUE
"67","Mean Edge Betweeness",9953.76714584786,TRUE
"68","Mean Edge Betweeness",19844.4408768471,TRUE
"69","Mean Edge Betweeness",18248.2807201137,TRUE
"70","Mean Edge Betweeness",8726.27349280823,TRUE
"71","Mean Edge Betweeness",10081.1496357145,TRUE
"72","Mean Edge Betweeness",19732.5298808776,TRUE
"73","Mean Edge Betweeness",11509.0996089161,TRUE
"74","Mean Edge Betweeness",8120.1570947543,TRUE
"75","Mean Edge Betweeness",17614.5842228224,TRUE
"76","Mean Edge Betweeness",10544.7756237349,TRUE
"77","Mean Edge Betweeness",18910.7478096544,TRUE
"78","Mean Edge Betweeness",16511.3602962266,TRUE
"79","Mean Edge Betweeness",25129.701285492,TRUE
"80","Mean Edge Betweeness",21580.9567537868,TRUE
"81","Mean Edge Betweeness",9425.38307177389,TRUE
"82","Mean Edge Betweeness",9380.43742248839,TRUE
"83","Mean Edge Betweeness",9950.47715469509,TRUE
"84","Mean Edge Betweeness",12339.3388176194,TRUE
"85","Mean Edge Betweeness",22687.5984085089,TRUE
"86","Mean Edge Betweeness",18911.922181131,TRUE
"87","Mean Edge Betweeness",22646.9720463957,TRUE
"88","Mean Edge Betweeness",14253.1746054225,TRUE
"89","Mean Edge Betweeness",22937.8243270415,TRUE
"90","Mean Edge Betweeness",15018.2183832375,TRUE
"91","Mean Edge Betweeness",18072.3261628216,TRUE
"92","Mean Edge Betweeness",17169.4224719451,TRUE
"93","Mean Edge Betweeness",9135.79406636782,TRUE
"94","Mean Edge Betweeness",11587.0453556064,TRUE
"95","Mean Edge Betweeness",21599.0705707004,TRUE
"96","Mean Edge Betweeness",13699.9467854942,TRUE
"97","Mean Edge Betweeness",13833.8447910583,TRUE
"98","Mean Edge Betweeness",10304.036314061,TRUE
"99","Mean Edge Betweeness",24380.0898300747,TRUE
"100","Mean Edge Betweeness",20051.1527038235,TRUE
"101","Mean Edge Betweeness",11236.8916443379,TRUE
"102","Mean Edge Betweeness",28620.9121835999,TRUE
"103","Mean Edge Betweeness",16008.2292374472,TRUE
"104","Mean Edge Betweeness",10983.0014040701,TRUE
"105","Mean Edge Betweeness",13737.1553732721,TRUE
"106","Mean Edge Betweeness",9689.85427249334,TRUE
"107","Mean Edge Betweeness",12692.2847211856,TRUE
"108","Mean Edge Betweeness",18146.7801824836,TRUE
"109","Mean Edge Betweeness",9567.08439946806,TRUE
"110","Mean Edge Betweeness",28163.6653911109,TRUE
"111","Mean Edge Betweeness",13628.7014289555,TRUE
"112","Mean Edge Betweeness",15563.6249451173,TRUE
"113","Mean Edge Betweeness",20029.2623539823,TRUE
"114","Mean Edge Betweeness",9544.63909898289,TRUE
"115","Mean Edge Betweeness",14509.5267036086,TRUE
"116","Mean Edge Betweeness",19131.2182104444,TRUE
"117","Mean Edge Betweeness",19380.5007607784,TRUE
"118","Mean Edge Betweeness",8471.68095137555,TRUE
"119","Mean Edge Betweeness",11533.2580207099,TRUE
"120","Mean Edge Betweeness",14521.3545640855,TRUE
"121","Mean Edge Betweeness",12594.9718959001,TRUE
"122","Mean Edge Betweeness",12570.5663233519,TRUE
"123","Mean Edge Betweeness",11058.6274595394,TRUE
"124","Mean Edge Betweeness",20226.9510091846,TRUE
"125","Mean Edge Betweeness",14953.7117645936,TRUE
"126","Mean Edge Betweeness",16995.3254739293,TRUE
"127","Mean Edge Betweeness",13606.4035911821,TRUE
"128","Mean Edge Betweeness",12456.0667211015,TRUE
"129","Mean Edge Betweeness",12948.0316164124,TRUE
"130","Mean Edge Betweeness",13151.3698098905,TRUE
"131","Mean Edge Betweeness",18383.1713186517,TRUE
"132","Mean Edge Betweeness",15472.3999636886,TRUE
"133","Mean Edge Betweeness",16470.4193704941,TRUE
"134","Mean Edge Betweeness",12336.97151561,TRUE
"135","Mean Edge Betweeness",19927.784222238,TRUE
"136","Mean Edge Betweeness",15445.0279503011,TRUE
"137","Mean Edge Betweeness",11377.8395424564,TRUE
"138","Mean Edge Betweeness",11586.1040233871,TRUE
"139","Mean Edge Betweeness",20164.7571824142,TRUE
"140","Mean Edge Betweeness",12110.2811723783,TRUE
"141","Mean Edge Betweeness",11568.0885225245,TRUE
"142","Mean Edge Betweeness",8842.78455228584,TRUE
"143","Mean Edge Betweeness",15273.9875331213,TRUE
"144","Mean Edge Betweeness",9707.38095855436,TRUE
"145","Mean Edge Betweeness",17013.0994851436,TRUE
"146","Mean Edge Betweeness",21330.0723336828,TRUE
"147","Mean Edge Betweeness",9114.70283297186,TRUE
"148","Mean Edge Betweeness",11192.0286696457,TRUE
"149","Mean Edge Betweeness",13191.3126292086,TRUE
"150","Mean Edge Betweeness",16197.157118243,TRUE
"151","Mean Edge Betweeness",10841.4903104585,TRUE
"152","Mean Edge Betweeness",13053.1514005439,TRUE
"153","Mean Edge Betweeness",13138.5890276942,TRUE
"154","Mean Edge Betweeness",8521.33026838699,TRUE
"155","Mean Edge Betweeness",14980.4298639277,TRUE
"156","Mean Edge Betweeness",17687.8321110923,TRUE
"157","Mean Edge Betweeness",13610.420374335,TRUE
"158","Mean Edge Betweeness",12476.9642450337,TRUE
"159","Mean Edge Betweeness",22481.8782259091,TRUE
"160","Mean Edge Betweeness",13319.6807786255,TRUE
"161","Mean Edge Betweeness",12160.3884495641,TRUE
"162","Mean Edge Betweeness",12064.8295278845,TRUE
"163","Mean Edge Betweeness",7555.72174571043,TRUE
"164","Mean Edge Betweeness",16513.8342383013,TRUE
"165","Mean Edge Betweeness",19729.2412709461,TRUE
"166","Mean Edge Betweeness",16586.6499578573,TRUE
"167","Mean Edge Betweeness",11778.0533122502,TRUE
"168","Mean Edge Betweeness",16532.5169052406,TRUE
"169","Mean Edge Betweeness",21573.9380363316,TRUE
"170","Mean Edge Betweeness",14062.1935447635,TRUE
"171","Mean Edge Betweeness",14338.1250297265,TRUE
"172","Mean Edge Betweeness",12467.6682901472,TRUE
"173","Mean Edge Betweeness",14859.1170175456,TRUE
"174","Mean Edge Betweeness",19860.9500876378,TRUE
"175","Mean Edge Betweeness",17971.2001009027,TRUE
"176","Mean Edge Betweeness",13234.0250643785,TRUE
"177","Mean Edge Betweeness",11968.7903841698,TRUE
"178","Mean Edge Betweeness",10805.2886540523,TRUE
"179","Mean Edge Betweeness",13936.5858130771,TRUE
"180","Mean Edge Betweeness",18432.4924640925,TRUE
"181","Mean Edge Betweeness",17741.6797346077,TRUE
"182","Mean Edge Betweeness",11523.8212674743,TRUE
"183","Mean Edge Betweeness",24424.3588427318,TRUE
"184","Mean Edge Betweeness",11863.848520554,TRUE
"185","Mean Edge Betweeness",9481.74629083864,TRUE
"186","Mean Edge Betweeness",12310.852092008,TRUE
"187","Mean Edge Betweeness",19003.0688016657,TRUE
"188","Mean Edge Betweeness",18498.9530560864,TRUE
"189","Mean Edge Betweeness",16341.4576406383,TRUE
"190","Mean Edge Betweeness",14128.5261698101,TRUE
"191","Mean Edge Betweeness",9178.98608469746,TRUE
"192","Mean Edge Betweeness",13003.5556128913,TRUE
"193","Mean Edge Betweeness",23008.3244926306,TRUE
"194","Mean Edge Betweeness",10986.0643078175,TRUE
"195","Mean Edge Betweeness",18610.0496890102,TRUE
"196","Mean Edge Betweeness",13527.0185901801,TRUE
"197","Mean Edge Betweeness",22961.3029879419,TRUE
"198","Mean Edge Betweeness",14402.8177984048,TRUE
"199","Mean Edge Betweeness",12912.5302968389,TRUE
"200","Mean Edge Betweeness",21331.1707847961,TRUE
"201","Mean Edge Betweeness",16463.2782613432,TRUE
"202","Mean Edge Betweeness",15509.6056106104,TRUE
"203","Mean Edge Betweeness",10680.8374550793,TRUE
"204","Mean Edge Betweeness",15322.7016219814,TRUE
"205","Mean Edge Betweeness",21735.4052586982,TRUE
"206","Mean Edge Betweeness",23224.1922237563,TRUE
"207","Mean Edge Betweeness",21636.0662753806,TRUE
"208","Mean Edge Betweeness",18646.7914227975,TRUE
"209","Mean Edge Betweeness",24159.9371970304,TRUE
"210","Mean Edge Betweeness",17080.6896774201,TRUE
"211","Mean Edge Betweeness",11245.8211998555,TRUE
"212","Mean Edge Betweeness",15085.0933643289,TRUE
"213","Mean Edge Betweeness",13981.4953893543,TRUE
"214","Mean Edge Betweeness",25656.456436631,TRUE
"215","Mean Edge Betweeness",16837.5554697155,TRUE
"216","Mean Edge Betweeness",15428.4714638678,TRUE
"217","Mean Edge Betweeness",10012.8124391248,TRUE
"218","Mean Edge Betweeness",15252.4034768587,TRUE
"219","Mean Edge Betweeness",16484.0175768581,TRUE
"220","Mean Edge Betweeness",9600.30684152066,TRUE
"221","Mean Edge Betweeness",22223.5376094249,TRUE
"222","Mean Edge Betweeness",14997.4237757278,TRUE
"223","Mean Edge Betweeness",16698.3960625935,TRUE
"224","Mean Edge Betweeness",11211.3936005385,TRUE
"225","Mean Edge Betweeness",19104.4210725652,TRUE
"226","Mean Edge Betweeness",15668.0318511932,TRUE
"227","Mean Edge Betweeness",12904.5858388637,TRUE
"228","Mean Edge Betweeness",17461.5150655051,TRUE
"229","Mean Edge Betweeness",14277.6015667144,TRUE
"230","Mean Edge Betweeness",12456.5180557242,TRUE
"231","Mean Edge Betweeness",9687.47273142297,TRUE
"232","Mean Edge Betweeness",19445.0599294252,TRUE
"233","Mean Edge Betweeness",13716.7508243479,TRUE
"234","Mean Edge Betweeness",9659.40564845331,TRUE
"235","Mean Edge Betweeness",13804.7102638223,TRUE
"236","Mean Edge Betweeness",9716.48101260372,TRUE
"237","Mean Edge Betweeness",12951.2669939269,TRUE
"238","Mean Edge Betweeness",12317.1970454488,TRUE
"239","Mean Edge Betweeness",11428.7682910063,TRUE
"240","Mean Edge Betweeness",18364.903169478,TRUE
"241","Mean Edge Betweeness",17635.5980121558,TRUE
"242","Mean Edge Betweeness",18956.7946011378,TRUE
"243","Mean Edge Betweeness",14168.9432952924,TRUE
"244","Mean Edge Betweeness",17889.3429656174,TRUE
"245","Mean Edge Betweeness",8258.6496562456,TRUE
"246","Mean Edge Betweeness",16125.5666892056,TRUE
"247","Mean Edge Betweeness",12249.032916707,TRUE
"248","Mean Edge Betweeness",14641.578371566,TRUE
"249","Mean Edge Betweeness",8434.25170155154,TRUE
"250","Mean Edge Betweeness",22622.5289579019,TRUE
"251","Mean Edge Betweeness",21989.2102743555,TRUE
"252","Mean Edge Betweeness",9677.15902918574,TRUE
"253","Mean Edge Betweeness",19809.75725507,TRUE
"254","Mean Edge Betweeness",21039.8009174136,TRUE
"255","Mean Edge Betweeness",20439.3898460412,TRUE
"256","Mean Edge Betweeness",12757.0852581219,TRUE
"257","Mean Edge Betweeness",10438.4469085333,TRUE
"258","Mean Edge Betweeness",15446.0683758318,TRUE
"259","Mean Edge Betweeness",12273.8067340638,TRUE
"260","Mean Edge Betweeness",17476.6071225428,TRUE
"261","Mean Edge Betweeness",16434.7380000849,TRUE
"262","Mean Edge Betweeness",11700.114359218,TRUE
"263","Mean Edge Betweeness",15120.2226609832,TRUE
"264","Mean Edge Betweeness",13087.9899913346,TRUE
"265","Mean Edge Betweeness",14714.067871115,TRUE
"266","Mean Edge Betweeness",18368.1805917028,TRUE
"267","Mean Edge Betweeness",24078.1128943448,TRUE
"268","Mean Edge Betweeness",11971.8850157071,TRUE
"269","Mean Edge Betweeness",10711.5860205347,TRUE
"270","Mean Edge Betweeness",10316.9774666883,TRUE
"271","Mean Edge Betweeness",7380.76236497823,TRUE
"272","Mean Edge Betweeness",13527.8372852951,TRUE
"273","Mean Edge Betweeness",13974.3293637073,TRUE
"274","Mean Edge Betweeness",17405.656620898,TRUE
"275","Mean Edge Betweeness",15722.2893137504,TRUE
"276","Mean Edge Betweeness",7295.08728263952,TRUE
"277","Mean Edge Betweeness",14656.2909530895,TRUE
"278","Mean Edge Betweeness",18834.7564382877,TRUE
"279","Mean Edge Betweeness",14057.6822185769,TRUE
"280","Mean Edge Betweeness",17158.0598105228,TRUE
"281","Mean Edge Betweeness",18963.1216812805,TRUE
"282","Mean Edge Betweeness",17250.7096675729,TRUE
"283","Mean Edge Betweeness",13888.8570746765,TRUE
"284","Mean Edge Betweeness",14808.030989543,TRUE
"285","Mean Edge Betweeness",11292.9031175412,TRUE
"286","Mean Edge Betweeness",13134.7275676729,TRUE
"287","Mean Edge Betweeness",9865.88592448291,TRUE
"288","Mean Edge Betweeness",11071.6526434681,TRUE
"289","Mean Edge Betweeness",13747.1247186425,TRUE
"290","Mean Edge Betweeness",12225.9071455772,TRUE
"291","Mean Edge Betweeness",23772.8627955127,TRUE
"292","Mean Edge Betweeness",17025.0682787692,TRUE
"293","Mean Edge Betweeness",20450.9798069773,TRUE
"294","Mean Edge Betweeness",8837.12180501892,TRUE
"295","Mean Edge Betweeness",13444.9533750285,TRUE
"296","Mean Edge Betweeness",11292.5030115128,TRUE
"297","Mean Edge Betweeness",18613.4975287797,TRUE
"298","Mean Edge Betweeness",16874.8467975884,TRUE
"299","Mean Edge Betweeness",13985.983132472,TRUE
"300","Mean Edge Betweeness",15187.0374334882,TRUE
"301","Mean Edge Betweeness",10335.2928387393,TRUE
"302","Mean Edge Betweeness",12133.176120771,TRUE
"303","Mean Edge Betweeness",19508.248192131,TRUE
"304","Mean Edge Betweeness",13552.2318488504,TRUE
"305","Mean Edge Betweeness",15426.2731564815,TRUE
"306","Mean Edge Betweeness",8989.6673416333,TRUE
"307","Mean Edge Betweeness",13643.3605335127,TRUE
"308","Mean Edge Betweeness",9259.25907277821,TRUE
"309","Mean Edge Betweeness",10450.5796307301,TRUE
"310","Mean Edge Betweeness",16271.852094215,TRUE
"311","Mean Edge Betweeness",17080.2159823925,TRUE
"312","Mean Edge Betweeness",23714.8740156051,TRUE
"313","Mean Edge Betweeness",20888.0695462344,TRUE
"314","Mean Edge Betweeness",19402.8897354763,TRUE
"315","Mean Edge Betweeness",11027.3605257059,TRUE
"316","Mean Edge Betweeness",22621.6691755251,TRUE
"317","Mean Edge Betweeness",12493.0163985587,TRUE
"318","Mean Edge Betweeness",22834.3155030282,TRUE
"319","Mean Edge Betweeness",19026.7771368412,TRUE
"320","Mean Edge Betweeness",18976.3789336267,TRUE
"321","Mean Edge Betweeness",11656.8290126242,TRUE
"322","Mean Edge Betweeness",21499.7487971474,TRUE
"323","Mean Edge Betweeness",16916.3328146802,TRUE
"324","Mean Edge Betweeness",16465.008619484,TRUE
"325","Mean Edge Betweeness",13351.7592826421,TRUE
"326","Mean Edge Betweeness",8424.42622589713,TRUE
"327","Mean Edge Betweeness",19129.526457429,TRUE
"328","Mean Edge Betweeness",21902.0952436583,TRUE
"329","Mean Edge Betweeness",19194.0018821461,TRUE
"330","Mean Edge Betweeness",15549.9225196354,TRUE
"331","Mean Edge Betweeness",17063.337110789,TRUE
"332","Mean Edge Betweeness",25001.7571962227,TRUE
"333","Mean Edge Betweeness",12073.6054037163,TRUE
"334","Mean Edge Betweeness",15987.8910817402,TRUE
